"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
736,23943,-1260,-40,-296,-45,1
737,23976,-1196,-95,-352,-63,1
738,24005,-1168,-77,-492,-67,1
739,24036,-1268,-36,-496,-47,1
740,24072,-1356,-58,-364,-29,1
741,24101,-1296,38,-516,-70,1
742,24131,-1392,30,-300,-19,1
743,24160,-1104,-19,-280,-1,1
744,24189,-996,-38,-172,30,1
745,24218,-1072,25,-240,81,1
746,24248,-1088,-37,-460,92,1
747,24276,-1112,42,-460,103,1
748,24306,-1220,18,-476,84,1
749,24335,-1188,6,-488,29,1
750,24365,-1124,-32,-504,44,1
751,24393,-1140,22,-240,61,1
752,24423,-1208,-4,-344,45,1
753,24452,-1160,-1,-360,81,1
754,24486,-1320,4,-436,88,1
755,24516,-1236,-15,-504,61,1
756,24545,-1352,31,-444,65,1
757,24574,-1444,25,-628,36,1
758,24603,-1420,-45,-504,-15,1
759,24633,-1376,-3,-520,7,1
760,24663,-1468,-10,-592,32,1
761,24691,-1288,-6,-540,-8,1
762,24721,-1384,-33,-784,47,1
763,24750,-1472,-64,-536,-5,1
764,24779,-1496,-64,-640,2,1
765,24808,-1360,9,-648,-23,1
766,24838,-1628,-29,-660,-47,1
767,24866,-1788,-48,-500,-43,1
768,24896,-1568,-122,-692,-62,1
769,24925,-1604,-25,-556,-36,1
770,24954,-1644,-50,-740,-17,1
771,24988,-1300,-76,-588,-58,1
772,25018,-1180,-59,-680,-6,1
773,25047,-1296,-74,-588,-24,1
774,25076,-1288,-65,-888,17,1
775,25105,-1500,28,-808,-11,1
776,25135,-1592,-6,-856,20,1
777,25163,-1704,-73,-816,6,1
778,25193,-1620,-83,-700,34,1
779,25222,-1724,-22,-860,-11,1
780,25251,-1560,-4,-716,-11,1
781,25280,-1400,-24,-564,-22,1
782,25310,-1280,-11,-672,-31,1
783,25338,-1328,-11,-788,-33,1
784,25368,-1400,65,-572,4,1
785,25397,-1376,-40,-600,-3,1
786,25426,-1252,-17,-660,-22,1
787,25461,-1428,-16,-816,13,1
788,25490,-1504,19,-720,-6,1
789,25520,-1408,5,-604,14,1
790,25548,-1512,-43,-720,76,1
791,25578,-1408,8,-640,29,1
792,25607,-1620,33,-756,24,1
793,25636,-1276,-50,-820,5,1
794,25665,-1476,-16,-672,16,1
795,25695,-1676,42,-916,18,1
796,25723,-1668,-45,-716,-12,1
797,25753,-1676,-33,-984,-33,1
798,25782,-1632,-54,-820,-38,1
799,25811,-1700,-11,-600,-44,1
800,25841,-1544,-74,-764,-34,1
801,25870,-1512,154,-880,-116,1
802,25900,-1328,-167,-584,-100,1
803,25928,-1188,9,-852,-56,1
804,25962,-1320,-59,-632,-71,1
805,25992,-1276,12,-940,-18,1
806,26020,-1468,7,-824,-11,1
807,26049,-1568,-108,-808,26,1
808,26079,-1596,305,-936,-18,1
809,26107,-2004,114,-780,-26,1
