"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
173,7547,15332,-107,16028,348,1
174,7576,15284,-174,15776,181,1
175,7605,15056,-32,15328,263,1
176,7634,15076,-9,15608,37,1
177,7663,15132,42,15792,42,1
178,7692,15360,168,15264,352,1
179,7725,15424,240,17008,530,1
180,7753,15840,504,16464,260,1
181,7783,14940,590,15512,386,1
182,7812,15076,271,15424,414,1
183,7840,15508,534,15904,665,1
184,7870,15388,390,15964,489,1
185,7906,15180,157,15520,85,1
186,7934,15112,123,16292,-204,1
187,7964,15256,85,15408,-483,1
188,7993,14876,-14,15580,-459,1
189,8022,15292,-208,15252,-440,1
190,8051,15052,17,15648,-293,1
191,8080,15304,-244,15280,-308,1
192,8109,15308,-181,15604,-123,1
193,8137,15124,88,15520,-55,1
194,8166,15060,-264,14956,-65,1
195,8201,15208,-274,15512,54,1
196,8230,15336,-117,15696,58,1
197,8259,15152,-428,15200,-3,1
198,8288,15276,-393,15528,-69,1
199,8317,15356,-448,15484,-139,1
200,8346,15344,-520,15628,-123,1
201,8375,15308,-401,16208,-236,1
202,8404,15644,-332,16556,-374,1
203,8433,15172,-286,16408,-416,1
204,8462,14976,-386,14576,-493,1
205,8492,15092,-241,15964,-194,1
206,8520,15084,-78,15884,-34,1
207,8549,15340,-33,15452,-92,1
208,8578,15068,107,15512,-8,1
209,8607,15292,151,15288,98,1
210,8636,15368,-140,15328,81,1
211,8669,15592,-5,15224,-84,1
212,8697,16036,-73,15592,-350,1
213,8727,15504,-418,16704,-685,1
214,8756,14892,-527,16492,-757,1
215,8784,14680,-67,14748,-399,1
216,8813,14948,18,15368,-157,1
217,8843,15676,98,15828,208,1
218,8871,14800,40,15564,288,1
219,8900,15320,233,14668,324,1
220,8929,15256,-45,15520,381,1
221,8958,15568,99,15768,427,1
222,8987,15348,24,15572,384,1
223,9016,15448,185,14988,224,1
224,9044,15308,-119,16476,150,1
225,9074,15428,96,16272,-42,1
226,9103,15468,-127,15764,-212,1
227,9137,15304,66,15492,-356,1
228,9166,14988,-16,15824,-306,1
229,9195,15200,46,15312,-146,1
230,9224,15084,-114,14936,27,1
231,9252,15260,164,15284,89,1
232,9282,15116,40,15312,103,1
233,9311,15496,-3,15136,228,1
234,9339,15216,38,15256,287,1
235,9368,14984,71,16716,372,1
236,9397,15568,3,16284,383,1
237,9426,15580,-319,15388,-136,1
238,9455,15764,-239,16096,-267,1
239,9484,14780,10,17320,-323,1
240,9512,15108,-213,15564,-517,1
241,9542,15004,-412,13924,-495,1
242,9575,15408,-90,15876,-215,1
243,9605,15236,-14,15592,-113,1
244,9633,15260,-314,14436,-113,1
245,9662,15252,29,13936,147,1
246,9691,15060,-307,15756,166,1
247,9719,15772,-242,14892,314,1
248,9749,14912,-149,15360,224,1
249,9778,15248,-106,15356,193,1
250,9806,15160,-143,15892,250,1
251,9835,15532,-95,15480,213,1
252,9864,15328,25,16408,167,1
253,9892,15312,-52,16244,68,1
254,9922,15540,31,16320,20,1
255,9951,15168,54,16176,-37,1
256,9979,15308,84,15776,-78,1
257,10008,15216,109,15552,-76,1
258,10043,15420,20,15884,-173,1
259,10072,15308,117,15504,-181,1
260,10100,15492,96,15376,-71,1
261,10130,15156,20,15804,11,1
262,10159,15212,-47,14844,-16,1
263,10187,15324,-61,15244,107,1
264,10216,15104,-15,15464,67,1
265,10245,15116,73,15156,39,1
