"index","Ax","Ay","Az","Gx","Gy","Gz","Gz1","Occupancy"
425 , -6.86 , -0.19 , 7.02 , -0.03 , -0.10 , -0.14 , -0.14 , 0
426 , -6.76 , -0.25 , 7.19 , 0.07 , -0.63 , -0.10 , -0.10 , 0
427 , -6.22 , -0.20 , 7.31 , 0.30 , -0.98 , 0.14 , 0.14 , 0
428 , -6.02 , 0.08 , 8.23 , 0.50 , -0.65 , 0.24 , 0.24 , 0
429 , -6.29 , 0.50 , 8.82 , 0.22 , 0.03 , 0.11 , 0.11 , 0
430 , -6.15 , 0.53 , 8.41 , -0.25 , 0.47 , -0.15 , -0.15 , 0
431 , -5.97 , 0.19 , 7.72 , -0.42 , 0.55 , -0.24 , -0.24 , 0
432 , -6.28 , -0.14 , 7.30 , -0.28 , 0.24 , -0.09 , -0.09 , 0
433 , -6.56 , -0.20 , 7.40 , -0.14 , 0.07 , -0.02 , -0.02 , 0
434 , -6.46 , -0.21 , 7.21 , -0.04 , -0.20 , -0.04 , -0.04 , 0
435 , -6.07 , -0.13 , 7.47 , 0.07 , -0.90 , -0.02 , -0.02 , 0
436 , -5.93 , -0.03 , 8.60 , 0.13 , -0.96 , 0.00 , 0.00 , 0
437 , -5.81 , 0.02 , 8.88 , -0.01 , 0.23 , 0.03 , 0.03 , 0
438 , -5.91 , 0.10 , 8.20 , -0.08 , 0.88 , 0.08 , 0.08 , 0
439 , -6.16 , -0.03 , 7.71 , -0.18 , 0.50 , 0.11 , 0.11 , 0
440 , -6.30 , -0.00 , 7.37 , -0.00 , 0.23 , 0.19 , 0.19 , 0
441 , -6.39 , 0.12 , 7.33 , 0.31 , -0.11 , 0.32 , 0.32 , 0
442 , -6.62 , 0.50 , 8.05 , 0.32 , -0.29 , 0.22 , 0.22 , 0
443 , -6.50 , 0.63 , 8.12 , 0.01 , -0.09 , -0.11 , -0.11 , 0
444 , -6.13 , 0.51 , 7.91 , -0.28 , 0.10 , -0.34 , -0.34 , 0
445 , -6.29 , 0.20 , 7.77 , -0.33 , 0.28 , -0.42 , -0.42 , 0
446 , -6.38 , -0.14 , 7.24 , -0.32 , 0.21 , -0.31 , -0.31 , 0
447 , -6.34 , -0.31 , 7.30 , -0.13 , -0.07 , -0.15 , -0.15 , 0
448 , -6.31 , -0.38 , 7.43 , 0.04 , -0.21 , 0.03 , 0.03 , 0
449 , -6.38 , -0.28 , 7.57 , 0.09 , -0.42 , 0.05 , 0.05 , 0
450 , -6.33 , -0.04 , 8.31 , 0.17 , -0.21 , 0.12 , 0.12 , 0
451 , -6.40 , -0.06 , 8.13 , 0.04 , 0.05 , 0.20 , 0.20 , 0
452 , -6.48 , 0.01 , 8.04 , 0.11 , -0.00 , 0.16 , 0.16 , 0
453 , -6.25 , 0.20 , 8.15 , -0.00 , 0.10 , 0.02 , 0.02 , 0
454 , -6.16 , 0.17 , 7.81 , -0.07 , 0.26 , -0.15 , -0.15 , 0
455 , -5.94 , 0.08 , 7.42 , -0.03 , 0.08 , -0.08 , -0.08 , 0
456 , -6.17 , 0.11 , 7.55 , 0.04 , -0.13 , 0.13 , 0.13 , 0
457 , -6.54 , 0.29 , 7.59 , 0.16 , -0.32 , 0.34 , 0.34 , 0
458 , -6.33 , 0.57 , 8.34 , 0.11 , -0.29 , 0.19 , 0.19 , 0
459 , -6.16 , 0.64 , 8.72 , -0.26 , -0.10 , -0.18 , -0.18 , 0
460 , -5.70 , 0.45 , 7.98 , -0.34 , 0.32 , -0.14 , -0.14 , 0
461 , -6.21 , 0.01 , 7.91 , -0.31 , 0.18 , -0.07 , -0.07 , 0
462 , -6.60 , -0.34 , 7.68 , -0.33 , 0.54 , -0.24 , -0.24 , 0
463 , -6.90 , -0.51 , 7.23 , -0.22 , 0.28 , -0.24 , -0.24 , 0
464 , -6.51 , -0.74 , 7.06 , -0.18 , -0.10 , -0.17 , -0.17 , 0
465 , -6.34 , -0.60 , 6.69 , 0.08 , -0.75 , 0.15 , 0.15 , 0
466 , -5.82 , -0.22 , 7.86 , 0.35 , -0.88 , 0.25 , 0.25 , 0
467 , -5.86 , 0.11 , 8.80 , 0.27 , -0.34 , 0.08 , 0.08 , 0
468 , -5.85 , 0.32 , 8.90 , 0.02 , -0.08 , 0.00 , 0.00 , 0
469 , -5.88 , 0.31 , 8.59 , -0.09 , 0.10 , -0.04 , -0.04 , 0
470 , -5.70 , 0.00 , 8.50 , -0.16 , 0.24 , -0.11 , -0.11 , 0
471 , -5.71 , -0.30 , 8.04 , -0.18 , 0.25 , -0.10 , -0.10 , 0
472 , -5.97 , -0.45 , 8.03 , -0.11 , 0.21 , -0.08 , -0.08 , 0
473 , -6.23 , -0.41 , 7.63 , -0.17 , 0.22 , -0.09 , -0.09 , 0
474 , -6.14 , -0.31 , 7.35 , -0.11 , -0.24 , 0.00 , 0.00 , 0
475 , -5.84 , -0.31 , 7.75 , 0.14 , -0.46 , 0.13 , 0.13 , 0
476 , -5.71 , -0.33 , 8.22 , 0.22 , -0.46 , 0.11 , 0.11 , 0
477 , -5.65 , -0.06 , 8.79 , 0.22 , -0.24 , -0.01 , -0.01 , 0
478 , -5.72 , -0.01 , 9.09 , -0.06 , 0.55 , -0.27 , -0.27 , 0
479 , -5.63 , -0.20 , 8.47 , -0.48 , 1.01 , -0.48 , -0.48 , 0
480 , -5.98 , -0.47 , 7.01 , -0.19 , 0.41 , -0.36 , -0.36 , 0
481 , -6.99 , -0.74 , 7.56 , -0.06 , 0.08 , -0.03 , -0.03 , 0
482 , -7.03 , -0.90 , 6.99 , -0.02 , -0.08 , 0.12 , 0.12 , 0
483 , -6.31 , -0.48 , 6.81 , 0.39 , -1.02 , 0.43 , 0.43 , 0
484 , -5.22 , -0.16 , 8.48 , 0.72 , -0.97 , 0.27 , 0.27 , 0
485 , -5.23 , 0.38 , 8.93 , 0.32 , -0.47 , 0.19 , 0.19 , 0
486 , -5.60 , 0.62 , 9.04 , 0.01 , 0.05 , 0.01 , 0.01 , 0
487 , -5.44 , 0.36 , 9.17 , -0.27 , 0.73 , -0.19 , -0.19 , 0
488 , -6.10 , 0.17 , 7.78 , -0.45 , 0.88 , -0.22 , -0.22 , 0
489 , -6.23 , -0.15 , 7.25 , -0.16 , 0.39 , -0.18 , -0.18 , 0
490 , -6.40 , -0.21 , 7.04 , -0.03 , -0.24 , -0.01 , -0.01 , 0
491 , -5.96 , -0.07 , 7.72 , 0.31 , -0.67 , 0.10 , 0.10 , 0
492 , -5.91 , 0.15 , 8.74 , 0.22 , -0.37 , 0.05 , 0.05 , 0
493 , -5.84 , 0.22 , 8.53 , -0.01 , -0.17 , 0.00 , 0.00 , 0
494 , -5.61 , 0.14 , 8.30 , -0.03 , -0.10 , -0.02 , -0.02 , 0
495 , -5.67 , 0.16 , 8.18 , -0.03 , -0.11 , 0.01 , 0.01 , 0
496 , -5.58 , 0.14 , 8.41 , 0.00 , -0.06 , -0.01 , -0.01 , 0
497 , -5.60 , 0.20 , 8.15 , -0.02 , -0.02 , -0.02 , -0.02 , 0
498 , -5.50 , 0.29 , 8.45 , 0.03 , -0.06 , -0.00 , -0.00 , 0
499 , -5.66 , 0.32 , 8.37 , -0.03 , -0.03 , 0.01 , 0.01 , 0
500 , -5.47 , 0.20 , 8.47 , 0.00 , -0.07 , -0.02 , -0.02 , 0
501 , -5.65 , 0.28 , 8.44 , 0.00 , -0.04 , -0.02 , -0.02 , 0
502 , -5.44 , 0.31 , 8.44 , -0.03 , -0.02 , -0.02 , -0.02 , 0
503 , -5.38 , 0.28 , 8.29 , -0.00 , -0.01 , -0.01 , -0.01 , 0
504 , -5.67 , 0.33 , 8.43 , -0.01 , 0.01 , -0.01 , -0.01 , 0
505 , -5.43 , 0.30 , 8.40 , -0.03 , -0.00 , -0.02 , -0.02 , 0
506 , -5.49 , 0.25 , 8.41 , 0.00 , -0.01 , -0.02 , -0.02 , 0
507 , -5.56 , 0.28 , 8.44 , -0.04 , 0.01 , -0.02 , -0.02 , 0
508 , -5.46 , 0.29 , 8.31 , -0.03 , 0.01 , -0.03 , -0.03 , 0
509 , -5.53 , 0.31 , 8.49 , -0.01 , -0.03 , -0.01 , -0.01 , 0
510 , -5.54 , 0.31 , 8.44 , -0.03 , 0.01 , -0.03 , -0.03 , 0
