"index","Ax","Ay","Az","Gx","Gy","Gz","Gz1","Occupancy"
133 , 1.68 , 0.49 , 10.13 , 0.27 , -0.05 , 0.20 , 0.20 , 1
134 , 1.92 , 0.68 , 10.18 , 0.25 , 0.08 , -0.04 , -0.04 , 1
135 , 1.76 , 0.49 , 10.40 , 0.03 , 0.09 , -0.18 , -0.18 , 1
136 , 1.64 , 0.40 , 10.25 , -0.43 , 0.29 , -0.31 , -0.31 , 1
137 , 1.49 , 0.18 , 10.00 , -0.70 , 0.37 , -0.29 , -0.29 , 1
138 , 1.20 , -0.14 , 9.97 , -0.48 , 0.41 , -0.14 , -0.14 , 1
139 , 1.01 , -0.18 , 9.93 , -0.03 , 0.25 , -0.02 , -0.02 , 1
140 , 0.95 , -0.22 , 10.55 , 0.19 , -0.03 , -0.00 , -0.00 , 1
141 , 1.20 , -0.19 , 10.14 , 0.16 , -0.40 , -0.05 , -0.05 , 1
142 , 1.38 , -0.10 , 10.13 , 0.16 , -0.58 , -0.06 , -0.06 , 1
143 , 1.51 , 0.10 , 10.10 , 0.10 , -0.24 , -0.03 , -0.03 , 1
144 , 1.56 , 0.25 , 10.48 , 0.08 , 0.03 , 0.06 , 0.06 , 1
145 , 1.58 , 0.18 , 10.16 , 0.22 , 0.10 , 0.15 , 0.15 , 1
146 , 1.61 , 0.24 , 10.46 , 0.23 , 0.11 , 0.18 , 0.18 , 1
147 , 1.58 , 0.40 , 10.29 , -0.06 , 0.11 , 0.13 , 0.13 , 1
148 , 1.37 , 0.48 , 9.76 , -0.16 , 0.12 , 0.07 , 0.07 , 1
149 , 1.31 , 0.47 , 9.85 , -0.09 , 0.08 , 0.01 , 0.01 , 1
150 , 0.95 , 0.48 , 10.22 , -0.06 , 0.38 , -0.09 , -0.09 , 1
151 , 0.64 , 0.20 , 10.50 , -0.22 , 0.62 , -0.09 , -0.09 , 0
152 , 1.07 , -0.13 , 10.65 , -0.23 , 0.24 , -0.09 , -0.09 , 0
153 , 0.05 , -0.20 , 11.34 , -0.54 , 1.19 , -0.09 , -0.09 , 0
154 , -0.37 , -0.49 , 9.71 , -0.57 , 1.32 , -0.08 , -0.08 , 0
155 , -1.41 , -0.86 , 9.49 , -0.33 , 1.64 , -0.11 , -0.11 , 0
156 , -2.73 , -0.85 , 9.38 , 0.16 , 1.49 , -0.02 , -0.02 , 0
157 , -3.66 , -0.71 , 9.46 , 0.28 , 1.35 , -0.01 , -0.01 , 0
158 , -4.09 , -0.59 , 9.28 , -0.04 , 0.86 , -0.08 , -0.08 , 0
159 , -4.55 , -0.78 , 8.96 , -0.43 , 0.75 , -0.12 , -0.12 , 0
160 , -5.39 , -0.98 , 8.70 , -0.48 , 0.86 , -0.09 , -0.09 , 0
161 , -5.14 , -1.38 , 8.04 , -0.18 , 0.60 , 0.05 , 0.05 , 0
162 , -5.90 , -1.23 , 7.92 , 0.43 , 0.62 , 0.23 , 0.23 , 0
163 , -6.08 , -0.70 , 8.12 , 0.48 , -0.01 , 0.31 , 0.31 , 0
164 , -5.98 , -0.41 , 8.30 , 0.39 , 0.10 , 0.21 , 0.21 , 0
165 , -6.08 , -0.13 , 7.99 , 0.01 , 0.08 , 0.04 , 0.04 , 0
166 , -6.08 , -0.07 , 7.74 , -0.14 , -0.21 , -0.06 , -0.06 , 0
167 , -5.81 , -0.28 , 7.69 , -0.19 , -0.54 , -0.05 , -0.05 , 0
168 , -5.65 , -0.39 , 8.44 , 0.09 , -0.52 , 0.17 , 0.17 , 0
169 , -5.79 , -0.15 , 8.76 , 0.25 , 0.12 , 0.23 , 0.23 , 0
170 , -5.63 , 0.02 , 8.64 , 0.26 , 0.33 , 0.14 , 0.14 , 0
171 , -5.88 , 0.13 , 8.29 , 0.02 , 0.44 , -0.03 , -0.03 , 0
172 , -5.99 , 0.12 , 7.89 , -0.09 , 0.34 , -0.11 , -0.11 , 0
173 , -6.31 , 0.06 , 7.69 , -0.20 , 0.37 , -0.15 , -0.15 , 0
174 , -6.12 , -0.27 , 7.48 , -0.10 , 0.22 , -0.05 , -0.05 , 0
175 , -6.28 , -0.23 , 7.57 , 0.03 , -0.13 , 0.10 , 0.10 , 0
176 , -6.39 , 0.03 , 7.86 , 0.01 , -0.48 , 0.12 , 0.12 , 0
177 , -6.51 , 0.34 , 8.40 , -0.05 , -0.03 , -0.09 , -0.09 , 0
178 , -6.11 , 0.04 , 7.85 , 0.02 , 0.24 , -0.06 , -0.06 , 0
179 , -6.02 , -0.00 , 7.57 , 0.20 , -0.24 , 0.24 , 0.24 , 0
180 , -5.99 , 0.33 , 7.81 , 0.41 , -0.29 , 0.37 , 0.37 , 0
181 , -6.05 , 0.76 , 7.95 , 0.32 , -0.13 , 0.21 , 0.21 , 0
182 , -6.01 , 0.86 , 8.24 , -0.01 , -0.01 , -0.09 , -0.09 , 0
183 , -6.44 , 0.76 , 8.25 , -0.46 , 0.42 , -0.35 , -0.35 , 0
184 , -6.23 , 0.23 , 7.55 , -0.46 , 0.70 , -0.30 , -0.30 , 0
185 , -6.11 , 0.07 , 7.30 , -0.10 , 0.25 , -0.04 , -0.04 , 0
186 , -6.45 , 0.16 , 7.20 , 0.23 , -0.43 , 0.12 , 0.12 , 0
187 , -6.61 , 0.34 , 7.94 , 0.20 , -0.91 , 0.02 , 0.02 , 0
188 , -5.94 , 0.35 , 8.45 , 0.03 , -0.72 , -0.17 , -0.17 , 0
189 , -5.46 , 0.29 , 8.29 , -0.11 , -0.19 , -0.21 , -0.21 , 0
190 , -5.49 , 0.24 , 8.24 , 0.01 , 0.18 , 0.02 , 0.02 , 0
191 , -5.79 , 0.40 , 8.20 , 0.16 , 0.23 , 0.18 , 0.18 , 0
192 , -5.92 , 0.58 , 8.22 , 0.25 , 0.16 , 0.21 , 0.21 , 0
193 , -6.00 , 0.73 , 8.25 , 0.19 , 0.11 , 0.09 , 0.09 , 0
194 , -6.03 , 0.77 , 8.15 , -0.02 , 0.17 , -0.06 , -0.06 , 0
195 , -6.20 , 0.66 , 8.04 , -0.32 , 0.40 , -0.28 , -0.28 , 0
196 , -6.28 , 0.40 , 7.68 , -0.46 , 0.37 , -0.28 , -0.28 , 0
197 , -6.26 , 0.13 , 7.24 , -0.30 , 0.17 , -0.07 , -0.07 , 0
198 , -6.21 , 0.19 , 7.11 , 0.10 , -0.37 , 0.16 , 0.16 , 0
199 , -6.26 , 0.38 , 7.61 , 0.39 , -1.05 , 0.23 , 0.23 , 0
200 , -6.00 , 0.65 , 8.94 , 0.43 , -0.54 , 0.11 , 0.11 , 0
201 , -5.76 , 0.72 , 8.86 , 0.05 , 0.22 , -0.09 , -0.09 , 0
202 , -5.76 , 0.63 , 8.37 , -0.28 , 0.53 , -0.21 , -0.21 , 0
203 , -5.98 , 0.45 , 7.81 , -0.40 , 0.58 , -0.18 , -0.18 , 0
204 , -6.37 , 0.31 , 7.54 , -0.37 , 0.47 , -0.07 , -0.07 , 0
205 , -6.59 , 0.19 , 7.29 , -0.22 , 0.22 , -0.02 , -0.02 , 0
206 , -6.58 , 0.11 , 7.33 , -0.01 , -0.07 , 0.00 , 0.00 , 0
207 , -6.47 , 0.05 , 7.44 , 0.12 , -0.30 , -0.03 , -0.03 , 0
208 , -6.37 , 0.16 , 7.69 , 0.26 , -0.26 , -0.04 , -0.04 , 0
209 , -6.43 , 0.11 , 8.18 , 0.10 , 0.12 , -0.02 , -0.02 , 0
210 , -6.45 , 0.11 , 7.97 , -0.31 , 0.33 , -0.02 , -0.02 , 0
211 , -6.56 , 0.22 , 7.18 , -0.38 , 0.07 , 0.07 , 0.07 , 0
212 , -6.52 , 0.28 , 7.08 , -0.06 , -0.05 , 0.11 , 0.11 , 0
213 , -6.56 , 0.27 , 7.52 , 0.30 , -0.09 , 0.07 , 0.07 , 0
214 , -6.62 , 0.26 , 7.75 , 0.27 , -0.02 , -0.06 , -0.06 , 0
215 , -6.59 , 0.23 , 7.81 , -0.01 , -0.13 , -0.20 , -0.20 , 0
216 , -6.13 , 0.01 , 7.62 , -0.16 , -0.11 , -0.17 , -0.17 , 0
217 , -6.47 , -0.09 , 7.61 , -0.24 , -0.02 , 0.06 , 0.06 , 0
218 , -6.59 , 0.21 , 7.57 , -0.07 , -0.13 , 0.34 , 0.34 , 0
219 , -6.47 , 0.67 , 7.86 , 0.08 , -0.09 , 0.26 , 0.26 , 0
220 , -6.20 , 0.68 , 7.92 , 0.12 , 0.01 , 0.01 , 0.01 , 0
221 , -6.28 , 0.44 , 7.82 , 0.01 , 0.07 , -0.19 , -0.19 , 0
222 , -6.47 , 0.03 , 7.70 , -0.22 , 0.12 , -0.17 , -0.17 , 0
223 , -6.34 , -0.02 , 7.56 , -0.35 , 0.16 , 0.11 , 0.11 , 0
224 , -6.48 , 0.44 , 7.19 , -0.11 , -0.13 , 0.25 , 0.25 , 0
225 , -6.56 , 0.59 , 8.01 , 0.18 , -0.12 , 0.07 , 0.07 , 0
226 , -6.41 , 0.49 , 7.96 , 0.14 , -0.05 , -0.18 , -0.18 , 0
227 , -6.31 , 0.30 , 7.73 , 0.06 , -0.10 , -0.24 , -0.24 , 0
228 , -6.32 , 0.19 , 7.75 , 0.03 , -0.07 , -0.23 , -0.23 , 0
229 , -6.03 , 0.06 , 7.64 , -0.08 , -0.02 , -0.16 , -0.16 , 0
230 , -6.41 , 0.07 , 7.62 , -0.17 , 0.04 , -0.01 , -0.01 , 0
231 , -6.44 , 0.19 , 7.52 , -0.06 , 0.01 , 0.16 , 0.16 , 0
232 , -6.57 , 0.41 , 7.79 , 0.17 , 0.10 , 0.23 , 0.23 , 0
233 , -6.52 , 0.55 , 7.69 , 0.28 , 0.07 , 0.15 , 0.15 , 0
234 , -6.36 , 0.55 , 7.99 , 0.15 , -0.23 , -0.05 , -0.05 , 0
235 , -6.35 , 0.50 , 7.83 , -0.09 , -0.29 , -0.23 , -0.23 , 0
236 , -5.99 , 0.25 , 7.64 , -0.21 , 0.19 , -0.24 , -0.24 , 0
237 , -6.45 , 0.29 , 7.59 , -0.23 , 0.50 , -0.12 , -0.12 , 0
238 , -6.61 , 0.17 , 7.28 , -0.09 , 0.12 , 0.14 , 0.14 , 0
239 , -6.58 , 0.26 , 7.44 , 0.01 , -0.28 , 0.22 , 0.22 , 0
240 , -6.43 , 0.44 , 7.80 , -0.03 , -0.61 , 0.17 , 0.17 , 0
241 , -6.17 , 0.56 , 8.16 , 0.07 , -0.34 , -0.03 , -0.03 , 0
242 , -6.13 , 0.53 , 8.31 , 0.04 , 0.00 , -0.24 , -0.24 , 0
243 , -6.10 , 0.25 , 8.25 , -0.15 , 0.07 , -0.30 , -0.30 , 0
244 , -5.88 , 0.04 , 7.60 , -0.28 , 0.00 , -0.25 , -0.25 , 0
245 , -6.03 , -0.03 , 7.76 , -0.26 , -0.18 , -0.12 , -0.12 , 0
246 , -5.92 , -0.11 , 8.09 , 0.02 , -0.16 , 0.08 , 0.08 , 0
247 , -5.99 , -0.03 , 8.11 , 0.18 , -0.08 , 0.19 , 0.19 , 0
248 , -6.18 , 0.13 , 8.43 , 0.07 , -0.14 , 0.09 , 0.09 , 0
249 , -5.89 , 0.12 , 8.15 , -0.06 , -0.13 , 0.00 , 0.00 , 0
250 , -5.78 , 0.14 , 8.15 , -0.09 , -0.13 , 0.01 , 0.01 , 0
251 , -5.89 , 0.15 , 8.27 , -0.10 , -0.13 , 0.00 , 0.00 , 0
252 , -5.64 , 0.15 , 8.32 , -0.05 , -0.29 , -0.00 , -0.00 , 0
253 , -5.42 , 0.10 , 8.54 , -0.09 , -0.27 , -0.01 , -0.01 , 0
254 , -5.22 , 0.14 , 8.54 , -0.05 , -0.33 , -0.03 , -0.03 , 0
255 , -4.98 , 0.10 , 8.56 , 0.03 , -0.50 , -0.06 , -0.06 , 0
256 , -4.81 , 0.10 , 8.51 , -0.05 , -0.55 , -0.01 , -0.01 , 0
257 , -4.51 , -0.04 , 9.21 , -0.21 , -0.46 , -0.02 , -0.02 , 0
258 , -4.10 , -0.17 , 9.67 , -0.20 , -0.33 , -0.09 , -0.09 , 0
259 , -4.39 , -0.06 , 9.68 , 0.07 , -0.32 , -0.29 , -0.29 , 0
260 , -3.95 , -0.14 , 9.59 , 0.21 , -0.97 , -0.33 , -0.33 , 0
261 , -2.67 , -0.19 , 9.47 , 0.29 , -1.20 , -0.31 , -0.31 , 0
262 , -2.54 , -0.07 , 9.36 , 0.08 , -1.08 , -0.19 , -0.19 , 0
263 , -1.85 , 0.02 , 9.74 , 0.10 , -0.75 , -0.03 , -0.03 , 0
264 , -1.15 , 0.01 , 9.93 , 0.10 , -0.45 , 0.05 , 0.05 , 0
265 , -1.10 , 0.10 , 10.43 , 0.07 , -0.28 , 0.04 , 0.04 , 0
266 , -1.51 , 0.13 , 9.91 , 0.15 , -0.40 , -0.01 , -0.01 , 1
267 , -0.45 , 0.34 , 10.16 , 0.11 , -0.34 , 0.01 , 0.01 , 1
268 , -0.68 , 0.59 , 10.20 , 0.07 , -0.62 , -0.04 , -0.04 , 1
269 , -0.50 , 0.38 , 10.16 , -0.10 , -0.44 , -0.06 , -0.06 , 1
270 , -0.08 , 0.38 , 10.26 , -0.13 , -0.20 , 0.04 , 0.04 , 1
271 , -0.00 , 0.11 , 10.57 , -0.23 , -0.11 , 0.10 , 0.10 , 1
272 , 0.45 , -0.03 , 10.34 , -0.34 , -0.10 , 0.20 , 0.20 , 1
273 , 0.33 , -0.00 , 10.18 , -0.17 , -0.19 , 0.24 , 0.24 , 1
274 , 0.15 , 0.02 , 9.99 , 0.34 , -0.09 , 0.20 , 0.20 , 1
275 , 0.04 , 0.26 , 10.78 , 0.59 , 0.31 , 0.17 , 0.17 , 1
276 , -0.17 , 0.70 , 10.40 , 0.12 , 0.57 , 0.06 , 0.06 , 1
277 , -0.08 , 0.71 , 9.46 , -0.42 , 0.02 , -0.11 , -0.11 , 1
278 , -0.02 , 0.20 , 10.07 , -0.47 , -0.31 , -0.09 , -0.09 , 1
279 , 0.09 , 0.01 , 10.26 , 0.11 , -0.28 , 0.05 , 0.05 , 1
280 , 0.14 , 0.25 , 10.43 , 0.27 , -0.41 , 0.07 , 0.07 , 1
281 , 0.56 , 0.34 , 10.70 , 0.07 , -0.39 , -0.05 , -0.05 , 1
282 , 0.63 , 0.15 , 10.56 , -0.41 , -0.14 , -0.03 , -0.03 , 1
283 , 0.64 , -0.10 , 10.17 , -0.65 , 0.02 , -0.03 , -0.03 , 1
284 , 0.61 , -0.32 , 9.83 , -0.18 , 0.13 , 0.03 , 0.03 , 1
285 , 0.46 , -0.25 , 10.35 , 0.36 , 0.35 , 0.09 , 0.09 , 1
286 , 0.19 , -0.01 , 10.26 , 0.56 , 0.48 , -0.00 , -0.00 , 1
287 , 0.30 , 0.32 , 9.88 , 0.43 , -0.03 , -0.05 , -0.05 , 1
288 , -0.03 , 0.67 , 10.47 , 0.31 , -0.13 , -0.10 , -0.10 , 1
289 , 0.17 , 0.63 , 10.30 , 0.01 , -0.03 , -0.10 , -0.10 , 1
290 , 0.03 , 0.60 , 10.50 , -0.48 , -0.16 , -0.14 , -0.14 , 1
291 , 0.28 , 0.22 , 10.10 , -0.71 , -0.24 , -0.16 , -0.16 , 1
292 , 0.85 , -0.28 , 9.64 , -0.79 , -0.63 , -0.10 , -0.10 , 1
293 , 1.01 , -0.50 , 9.96 , -0.32 , -0.88 , -0.01 , -0.01 , 1
294 , 1.30 , -0.44 , 10.41 , 0.49 , -0.38 , -0.03 , -0.03 , 1
295 , 1.41 , 0.02 , 10.93 , 0.91 , 0.34 , -0.04 , -0.04 , 1
296 , 1.09 , 0.66 , 10.59 , 0.96 , 0.96 , -0.02 , -0.02 , 1
297 , 0.69 , 0.97 , 10.01 , 0.55 , 0.94 , -0.08 , -0.08 , 1
298 , -0.04 , 1.08 , 10.17 , -0.20 , 0.55 , -0.09 , -0.09 , 1
299 , -0.36 , 0.90 , 10.07 , -0.70 , 0.27 , -0.11 , -0.11 , 1
300 , -0.31 , 0.37 , 10.08 , -0.95 , -0.19 , -0.08 , -0.08 , 1
301 , 0.18 , -0.21 , 9.73 , -0.89 , -0.61 , 0.05 , 0.05 , 1
302 , 0.59 , -0.50 , 9.88 , -0.40 , -0.95 , 0.09 , 0.09 , 1
303 , 0.91 , -0.53 , 10.50 , 0.36 , -0.62 , 0.04 , 0.04 , 1
304 , 1.07 , -0.18 , 10.55 , 0.59 , -0.34 , -0.04 , -0.04 , 1
305 , 1.32 , 0.14 , 10.01 , 0.62 , -0.16 , -0.11 , -0.11 , 1
306 , 1.57 , 0.41 , 10.30 , 0.23 , -0.19 , -0.06 , -0.06 , 1
307 , 1.43 , 0.51 , 10.03 , -0.07 , -0.10 , 0.02 , 0.02 , 1
308 , 1.56 , 0.63 , 10.22 , 0.28 , 0.02 , 0.01 , 0.01 , 1
309 , 1.49 , 0.99 , 10.10 , 0.85 , 0.28 , -0.11 , -0.11 , 1
310 , 1.17 , 1.61 , 10.61 , 0.91 , 0.66 , -0.14 , -0.14 , 1
311 , 0.62 , 1.64 , 10.04 , -0.03 , 0.82 , -0.22 , -0.22 , 1
312 , 0.02 , 1.40 , 10.27 , -1.06 , 0.59 , -0.15 , -0.15 , 1
313 , -0.02 , 0.77 , 9.71 , -1.18 , 0.45 , -0.08 , -0.08 , 1
314 , -0.06 , 0.18 , 9.87 , -0.84 , -0.34 , 0.04 , 0.04 , 1
315 , 0.27 , -0.15 , 10.21 , -0.31 , -0.54 , 0.12 , 0.12 , 1
316 , 0.57 , -0.20 , 9.85 , 0.27 , -0.78 , 0.08 , 0.08 , 1
317 , 1.13 , 0.11 , 10.27 , 0.74 , -0.86 , -0.03 , -0.03 , 1
318 , 1.34 , 0.62 , 10.74 , 0.73 , -0.58 , -0.11 , -0.11 , 1
319 , 1.71 , 1.00 , 10.53 , 0.44 , -0.35 , -0.10 , -0.10 , 1
320 , 1.93 , 1.05 , 10.28 , -0.17 , -0.00 , -0.02 , -0.02 , 1
321 , 1.56 , 0.89 , 10.39 , -0.80 , 0.40 , 0.04 , 0.04 , 1
322 , 1.25 , 0.32 , 9.87 , -0.90 , 0.57 , 0.10 , 0.10 , 1
323 , 0.89 , -0.09 , 10.10 , -0.59 , 0.84 , 0.06 , 0.06 , 1
324 , 0.56 , -0.29 , 10.13 , -0.01 , 1.00 , -0.01 , -0.01 , 1
325 , 0.11 , -0.18 , 10.04 , 0.47 , 0.85 , 0.03 , 0.03 , 1
326 , -0.25 , 0.24 , 9.87 , 0.76 , 0.12 , 0.08 , 0.08 , 1
327 , -0.48 , 0.81 , 10.04 , 0.82 , -0.43 , 0.09 , 0.09 , 1
328 , -0.10 , 1.33 , 10.07 , 0.75 , -1.02 , 0.07 , 0.07 , 1
329 , 0.58 , 1.60 , 10.36 , 0.37 , -0.95 , -0.01 , -0.01 , 1
330 , 1.02 , 1.58 , 10.57 , -0.33 , -0.69 , -0.01 , -0.01 , 1
331 , 1.47 , 1.26 , 10.59 , -0.97 , -0.43 , 0.07 , 0.07 , 1
332 , 1.63 , 0.63 , 10.37 , -1.18 , -0.09 , 0.09 , 0.09 , 1
333 , 1.69 , 0.09 , 9.73 , -0.64 , 0.20 , 0.06 , 0.06 , 1
334 , 1.41 , -0.19 , 10.30 , -0.04 , 0.62 , -0.01 , -0.01 , 1
335 , 0.76 , -0.10 , 10.08 , 0.16 , 0.91 , -0.05 , -0.05 , 1
336 , 0.40 , -0.01 , 10.09 , -0.20 , 0.37 , -0.10 , -0.10 , 1
337 , 0.31 , -0.46 , 10.12 , -0.98 , -0.03 , -0.13 , -0.13 , 1
338 , 0.77 , -1.01 , 9.40 , -1.01 , -0.49 , -0.02 , -0.02 , 1
339 , 0.98 , -1.27 , 9.73 , 0.42 , -0.73 , -0.03 , -0.03 , 1
340 , 1.07 , -0.85 , 10.77 , 1.12 , -0.63 , -0.12 , -0.12 , 1
341 , 1.29 , -0.10 , 11.17 , 0.91 , 0.18 , -0.12 , -0.12 , 1
342 , 1.22 , 0.29 , 10.37 , 0.62 , 0.57 , -0.11 , -0.11 , 1
343 , 0.90 , 0.44 , 10.36 , -0.38 , 0.57 , -0.06 , -0.06 , 1
344 , 0.41 , 0.13 , 10.05 , -0.79 , 0.55 , -0.02 , -0.02 , 1
345 , 0.39 , -0.19 , 9.57 , -0.46 , 0.15 , 0.04 , 0.04 , 1
346 , 0.52 , -0.21 , 9.61 , 0.22 , -0.55 , 0.02 , 0.02 , 1
347 , 0.76 , -0.03 , 9.96 , 0.60 , -0.94 , -0.01 , -0.01 , 1
348 , 1.02 , 0.23 , 11.09 , 0.41 , -0.67 , -0.01 , -0.01 , 1
349 , 1.18 , 0.38 , 11.13 , -0.23 , 0.33 , -0.02 , -0.02 , 1
350 , 1.24 , 0.09 , 10.16 , -0.66 , 0.79 , 0.02 , 0.02 , 1
351 , 0.87 , -0.29 , 9.84 , -0.56 , 0.43 , 0.05 , 0.05 , 1
352 , 0.62 , -0.53 , 10.06 , -0.35 , 0.06 , 0.01 , 0.01 , 1
353 , 0.46 , -0.62 , 10.17 , -0.07 , -0.01 , 0.01 , 0.01 , 1
354 , 0.53 , -0.69 , 10.38 , 0.19 , 0.09 , 0.05 , 0.05 , 1
355 , 0.42 , -0.37 , 10.16 , 0.59 , 0.35 , -0.15 , -0.15 , 1
356 , -0.23 , 0.07 , 10.31 , 0.43 , 0.47 , -0.08 , -0.08 , 1
357 , 0.05 , 0.15 , 9.98 , -0.23 , -0.41 , -0.07 , -0.07 , 1
358 , 0.35 , -0.16 , 10.17 , -0.56 , -0.90 , 0.00 , 0.00 , 1
359 , 0.93 , -0.24 , 9.84 , 0.01 , -0.70 , 0.01 , 0.01 , 1
