"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
780,25313,-1076,13,980,-62,1
781,25341,-1072,-81,852,-81,1
782,25371,-1192,-61,1036,-126,1
783,25400,-988,-57,908,-75,1
784,25430,-1084,-39,668,-39,1
785,25458,-1280,-58,784,-61,1
786,25488,-1172,-83,852,-42,1
787,25517,-1236,-52,656,-42,1
788,25546,-1516,-43,764,-32,1
789,25575,-1184,10,668,-39,1
790,25605,-1300,-58,664,-46,1
791,25633,-1064,-44,956,-27,1
792,25663,-1144,2,876,-17,1
793,25692,-1296,-28,928,-10,1
794,25725,-960,6,788,-20,1
795,25754,-1272,20,712,4,1
796,25784,-980,3,640,-8,1
797,25812,-968,14,660,6,1
798,25841,-908,-24,924,-15,1
799,25871,-984,-38,920,27,1
800,25900,-1056,7,816,-8,1
801,25929,-1072,7,892,-4,1
802,25958,-1048,5,928,10,1
803,25987,-1020,59,880,9,1
804,26016,-948,-41,748,12,1
805,26045,-1044,-5,992,-4,1
806,26074,-1012,-19,696,3,1
807,26103,-948,-5,896,-4,1
808,26132,-936,52,872,17,1
809,26161,-932,16,900,35,1
810,26190,-944,20,856,50,1
811,26219,-1032,54,828,23,1
812,26254,-892,56,688,48,1
813,26283,-1048,14,856,19,1
814,26312,-1152,41,868,28,1
815,26341,-972,-7,916,-8,1
816,26370,-1020,-30,844,41,1
817,26399,-1076,52,788,28,1
818,26428,-964,37,848,-2,1
819,26457,-920,-33,784,34,1
820,26486,-1020,48,720,10,1
821,26515,-924,-20,848,7,1
822,26545,-1016,-6,960,-17,1
823,26573,-916,-26,968,-3,1
824,26602,-932,8,816,-10,1
825,26632,-908,29,976,-17,1
826,26660,-916,43,888,18,1
827,26689,-932,33,840,-3,1
828,26719,-916,-34,944,25,1
829,26747,-1108,23,840,30,1
830,26781,-872,-7,804,41,1
831,26810,-972,-15,852,23,1
832,26840,-924,8,960,12,1
833,26868,-892,-8,832,20,1
834,26897,-1028,44,836,31,1
835,26927,-1104,-6,916,13,1
836,26955,-1008,3,824,12,1
837,26985,-1028,-4,1008,-10,1
838,27014,-1032,-8,972,2,1
839,27042,-936,10,844,12,1
840,27072,-1032,39,832,-18,1
841,27101,-1104,-6,936,-7,1
842,27129,-1028,-17,928,-7,1
843,27159,-1052,-29,756,4,1
844,27188,-892,25,792,7,1
845,27217,-1060,-48,848,-9,1
846,27246,-960,2,916,17,1
847,27275,-980,-12,692,-7,1
848,27310,-1000,7,792,-7,1
849,27338,-1000,-23,864,-12,1
850,27368,-1016,7,836,-34,1
851,27397,-1020,-9,940,-7,1
852,27426,-1004,-28,676,-22,1
853,27455,-1000,25,824,-9,1
854,27484,-940,-12,844,-12,1
855,27513,-932,17,1016,-6,1
856,27542,-772,-33,860,7,1
857,27571,-844,-28,776,-29,1
858,27600,-1012,23,664,39,1
859,27629,-944,-3,696,74,1
860,27658,-1052,13,792,6,1
861,27687,-1172,5,772,45,1
862,27716,-1128,-13,748,1,1
863,27746,-1232,-41,804,-6,1
864,27774,-984,-4,768,25,1
865,27803,-932,-11,896,-20,1
866,27837,-768,-51,764,-4,1
867,27867,-1060,18,744,7,1
868,27895,-1216,-10,860,-3,1
869,27924,-1140,-65,908,26,1
870,27954,-1060,-8,840,-5,1
871,27982,-1072,-8,788,19,1
872,28011,-1020,-23,580,9,1
873,28041,-1044,16,884,16,1
874,28069,-1144,50,688,14,1
875,28100,-992,36,744,40,1
876,28230,-972,-95,676,46,1
877,28260,-1100,-19,676,49,1
878,28289,-856,53,584,50,1
879,28318,-1236,-41,692,49,1
880,28347,-1068,-13,792,65,1
881,28377,-1160,81,928,86,1
882,28405,-1552,17,604,68,1
883,28440,-1220,-21,764,56,1
884,28469,-1004,-43,856,27,1
885,28498,-984,-10,724,44,1
886,28527,-968,-9,744,16,1
887,28557,-984,-5,592,32,1
888,28585,-804,-119,792,52,1
889,28615,-1008,-54,676,60,1
890,28644,-1004,4,660,72,1
891,28674,-956,-66,728,90,1
892,28702,-872,64,672,110,1
893,28732,-1396,20,528,146,1
894,28761,-1544,25,528,147,1
895,28789,-896,-27,524,157,1
896,28819,-1156,-21,556,184,1
897,28848,-1208,-175,632,232,1
898,28877,-1220,-14,896,276,1
899,28906,-1052,-257,1104,318,1
900,28940,-1280,-402,1040,294,1
901,28969,-1368,-184,928,251,1
902,28999,-1520,-326,980,253,1
903,29028,-16448,-1088,376,362,0
904,29058,-1120,69,-404,193,0
905,29086,-660,61,-352,489,0
